temperature_c,load_percentage,voltage_lv,current_a,ambient_temperature,age_years,rated_kva,risk_label
46.57,44.49,406.5,156.8,30.0,25,250,0
31.62,52.33,409.0,369.9,25.0,1,500,0
37.06,49.9,409.1,350.8,30.0,5,500,0
131.67,138.01,339.2,234.2,40.0,5,100,2
26.34,68.85,402.7,987.5,15.0,3,1000,0
31.45,59.06,407.3,837.6,20.0,10,1000,0
35.82,36.19,408.9,128.0,20.0,25,250,0
30.99,71.18,406.2,254.0,15.0,10,250,0
51.29,69.34,405.0,988.5,40.0,2,1000,0
39.04,23.59,411.4,329.2,30.0,15,1000,0
72.76,111.1,354.5,1811.2,15.0,3,1000,2
42.27,70.49,405.8,99.5,25.0,15,100,0
42.04,51.42,408.9,182.1,25.0,25,250,0
50.8,72.4,406.0,101.6,40.0,1,100,0
56.96,99.3,381.8,152.9,15.0,8,100,1
66.56,83.85,382.9,1264.6,20.0,25,1000,1
43.67,45.54,407.3,65.2,35.0,10,100,0
40.48,68.2,405.7,486.0,25.0,12,500,0
30.94,26.9,412.9,92.1,25.0,10,250,0
44.2,24.3,410.2,35.1,30.0,25,100,0
37.58,43.42,409.1,61.3,30.0,8,100,0
45.72,71.27,405.2,506.8,30.0,10,500,0
136.3,135.13,342.8,571.8,35.0,15,250,2
35.31,47.13,408.0,333.8,30.0,1,500,0
43.5,73.03,404.6,258.9,30.0,5,250,0
42.01,71.77,403.1,100.9,25.0,15,100,0
31.92,68.36,403.0,244.1,15.0,15,250,0
33.11,34.83,408.0,47.6,30.0,2,100,0
38.89,36.09,411.3,506.5,35.0,3,1000,0
35.39,48.86,408.5,690.7,25.0,10,1000,0
151.08,138.4,336.7,592.1,40.0,20,250,2
20.04,29.51,408.6,415.2,15.0,8,1000,0
118.57,119.37,349.0,199.9,25.0,25,100,2
29.39,56.37,408.4,199.8,20.0,8,250,0
48.07,38.79,409.9,274.1,35.0,20,500,0
51.42,73.53,404.3,1048.9,35.0,10,1000,0
47.47,29.74,412.5,42.7,35.0,20,100,0
48.46,66.37,405.7,92.9,35.0,10,100,0
68.47,83.43,386.5,1246.4,40.0,3,1000,1
27.16,72.62,403.4,103.7,15.0,3,100,0
96.79,114.21,351.3,467.3,30.0,8,250,2
45.61,47.53,407.7,166.4,40.0,2,250,0
23.07,26.88,410.6,189.6,20.0,3,500,0
43.96,51.0,405.8,364.8,35.0,8,500,0
78.12,99.99,379.9,757.0,40.0,5,500,1
27.25,53.91,408.2,75.5,15.0,12,100,0
62.96,87.86,384.7,1319.3,35.0,3,1000,1
67.7,80.97,384.2,605.6,35.0,10,500,1
102.19,120.99,349.5,199.8,25.0,8,100,2
48.65,37.88,407.8,53.9,40.0,10,100,0
36.54,45.06,408.9,635.6,20.0,25,1000,0
31.17,71.0,404.8,253.0,20.0,3,250,0
43.6,47.28,408.2,667.2,35.0,8,1000,0
96.49,130.38,343.1,2191.0,15.0,3,1000,2
61.91,93.88,381.3,709.6,25.0,10,500,1
34.27,55.35,407.2,196.1,25.0,8,250,0
50.31,68.86,405.0,981.6,35.0,10,1000,0
33.09,26.09,411.3,181.7,30.0,2,500,0
52.75,73.99,404.3,1054.7,40.0,2,1000,0
45.94,44.71,410.0,630.0,40.0,5,1000,0
32.86,22.44,411.1,79.4,30.0,5,250,0
51.91,74.71,402.2,1071.5,30.0,20,1000,0
38.37,41.39,410.2,289.3,25.0,20,500,0
25.13,21.54,409.8,149.8,20.0,8,500,0
40.58,66.1,405.9,95.6,25.0,12,100,0
46.89,71.62,405.8,102.9,35.0,5,100,0
40.69,42.35,410.6,60.8,35.0,3,100,0
20.56,23.82,412.5,334.3,15.0,10,1000,0
47.6,54.53,405.1,777.5,40.0,3,1000,0
41.71,23.98,412.1,334.3,40.0,3,1000,0
41.11,55.42,408.1,785.3,30.0,8,1000,0
57.87,47.01,409.9,660.5,40.0,25,1000,0
49.73,47.62,406.8,167.8,40.0,12,250,0
35.51,67.08,403.7,238.5,20.0,15,250,0
47.41,42.98,408.2,61.3,40.0,8,100,0
78.12,80.7,386.0,602.7,40.0,20,500,1
26.56,57.36,406.4,204.3,15.0,8,250,0
29.7,67.29,404.5,958.9,20.0,3,1000,0
32.41,30.07,409.2,213.0,25.0,12,500,0
21.85,45.49,406.6,160.8,15.0,5,250,0
32.58,65.19,404.7,464.2,20.0,10,500,0
49.2,48.87,406.5,68.5,35.0,20,100,0
66.79,101.98,376.9,156.7,20.0,12,100,1
58.32,92.39,380.5,698.6,25.0,3,500,1
28.63,63.71,407.2,91.7,20.0,2,100,0
51.21,61.36,404.7,435.8,40.0,8,500,0
44.85,46.85,408.6,329.5,35.0,12,500,0
44.38,22.86,412.5,78.4,40.0,5,250,0
38.41,30.21,410.4,105.9,30.0,12,250,0
135.97,136.55,337.6,232.1,30.0,20,100,2
104.17,116.09,352.6,473.4,25.0,15,250,2
104.9,125.63,343.7,1056.1,30.0,2,500,2
28.28,28.64,412.4,39.6,25.0,3,100,0
32.38,29.75,410.4,420.3,25.0,12,1000,0
119.59,137.38,337.5,585.3,30.0,3,250,2
54.36,22.47,413.3,313.3,40.0,25,1000,0
37.21,55.09,406.3,196.2,30.0,3,250,0
101.84,125.18,346.0,523.5,20.0,10,250,2
23.82,33.74,408.8,119.8,20.0,5,250,0
44.24,35.66,411.4,49.6,40.0,5,100,0
41.12,42.56,408.2,149.3,35.0,3,250,0
47.28,86.78,383.5,651.2,20.0,1,500,1
92.22,111.37,356.2,903.8,25.0,10,500,2
53.29,58.3,404.8,82.9,40.0,12,100,0
