transformer_id,transformer_code,substation_code,substation_name,feeder_code,feeder_name,rated_kva,age_years,is_metered,current_load_pct,current_oil_temp_c,current_health_score,current_failure_risk,current_status,longitude,latitude,num_consumers,manufacturer,cooling_type,installation_date,is_flood_prone,is_high_lightning,address_text,district,operational_status
65310890-c3a8-463a-b365-b4626c24c45b,100770,SS_161,Dibrugarh Substation 161,FD_UNKNOWN,Unknown Feeder,100.0,25,False,63.9744501159724,33.8270343576713,76,0.2394,healthy,95.0457564,27.386318,127,ABB,ONAN,2001-02-17,False,True,"Ward No. 13, Substation 161, Dibrugarh",Dibrugarh,IN_SERVICE
653bed5a-be82-4fd8-8e51-d761a27097e0,100460,SS_123,Hojai Substation 123,FD_UNKNOWN,Unknown Feeder,100.0,21,True,65.3754779871293,33.6925897661415,77,0.2298,healthy,93.4301196,25.8319306,143,BHEL,ONAN,2005-03-15,False,False,"Ward No. 2, Substation 123, Hojai",Hojai,IN_SERVICE
657fd7a2-c26e-4032-b690-fdcd232805f6,100484,SS_124,Nagaon Substation 124,FD_UNKNOWN,Unknown Feeder,100.0,14,False,67.8371497402633,33.0033505547017,76,0.2386,healthy,92.689441,26.344804,58,ABB,ONAF,2012-06-14,False,False,"Ward No. 12, Substation 124, Nagaon",Nagaon,IN_SERVICE
6717cc67-9c4f-484a-a40a-01199171ba1e,100528,SS_133,Cachar Substation 133,FD_UNKNOWN,Unknown Feeder,200.0,10,False,63.6805574832958,33.4263833203203,76,0.234,healthy,92.5950633,24.5662035,129,ABB,ONAN,2016-08-09,False,True,"Ward No. 6, Substation 133, Cachar",Cachar,IN_SERVICE
6a01b0b6-64b0-46b3-ad99-917314515fdf,100032,SS_101,Kamrup Metro Substation 101,FD_UNKNOWN,Unknown Feeder,25.0,9,False,63.8139820200158,33.6947513324829,71,0.2863,healthy,91.7257577,26.1713767,25,Siemens,ONAN,2017-02-24,False,True,"Ward No. 14, Substation 101, Kamrup Metro",Kamrup Metro,IN_SERVICE
6a410413-b904-4c69-a5fe-fafeb9825f87,378,SS_133,Cachar Substation 133,FD_UNKNOWN,Unknown Feeder,63.0,9,True,66.9062153852966,32.4105195910662,71,0.2897,healthy,92.6652852,24.9159429,130,BHEL,ONAN,2017-02-19,True,False,"Ward No. 12, Substation 133, Unknown",Unknown,IN_SERVICE
6aaaefdd-adbb-4f8f-83b5-b75b1458716b,100825,SS_162,Tinsukia Substation 162,FD_UNKNOWN,Unknown Feeder,63.0,14,True,66.5028726681638,33.578491864805,73,0.2663,healthy,95.0527014,27.4861949,70,Crompton,ONAF,2012-07-05,False,False,"Ward No. 4, Substation 162, Tinsukia",Tinsukia,IN_SERVICE
6aacc9f8-c10d-400f-98d4-08b5de72f858,100576,SS_134,Cachar Substation 134,FD_UNKNOWN,Unknown Feeder,200.0,11,False,69.0115431727344,33.8340646848711,74,0.2593,healthy,92.7926716,24.7919417,96,ABB,ONAN,2015-07-14,False,False,"Ward No. 11, Substation 134, Cachar",Cachar,IN_SERVICE
5e1c5065-1a00-49bc-b6d0-d662a836e7d1,100162,SS_103,Kamrup Metro Substation 103,FD_UNKNOWN,Unknown Feeder,25.0,10,True,69.4367345026804,33.0038672201161,66,0.3322,healthy,91.777406,26.1732343,77,BHEL,ONAF,2016-09-01,True,False,"Ward No. 14, Substation 103, Kamrup Metro",Kamrup Metro,IN_SERVICE
5f64782a-205f-449d-8a17-6aaaf34a2771,100703,SS_151,Jorhat Substation 151,FD_UNKNOWN,Unknown Feeder,63.0,26,False,64.0972754435878,32.8148667485205,74,0.2502,healthy,94.0503797,26.5296204,87,ABB,ONAN,2000-07-18,False,False,"Ward No. 9, Substation 151, Jorhat",Jorhat,IN_SERVICE
5f6ec021-10dc-42d6-bb9a-298b35ab7db0,101300,SS_243,Barpeta Substation 243,FD_UNKNOWN,Unknown Feeder,315.0,7,False,66.3654922178161,33.2659617702853,74,0.256,healthy,91.1744098,26.6362219,91,Crompton,ONAN,2019-11-07,False,False,"Ward No. 10, Substation 243, Barpeta",Barpeta,IN_SERVICE
602fd79a-5f3c-4155-8243-9d91a165187f,100974,SS_182,Sonitpur Substation 182,FD_UNKNOWN,Unknown Feeder,200.0,10,False,65.8588390196716,33.4642285231797,74,0.2527,healthy,92.4999379,26.7061475,31,BHEL,ONAN,2016-02-20,False,False,"Ward No. 8, Substation 182, Sonitpur",Sonitpur,IN_SERVICE
65d02da5-a48f-4c7a-b231-19552579a30b,100252,SS_104,Kamrup Metro Substation 104,FD_UNKNOWN,Unknown Feeder,250.0,12,False,66.8575683924364,32.6361689619149,73,0.2628,healthy,91.694464,26.1509561,53,Siemens,ONAN,2014-04-15,False,False,"Ward No. 7, Substation 104, Kamrup Metro",Kamrup Metro,IN_SERVICE
6634e866-1202-4f2f-8fce-90e5623a7e13,615,SS_133,Cachar Substation 133,FD_UNKNOWN,Unknown Feeder,25.0,16,False,122.600680873411,90.3582378822509,23,0.7637,warning,92.577825,24.9051417,99,Crompton,ONAF,2010-10-27,False,False,"Ward No. 12, Substation 133, Unknown",Unknown,IN_SERVICE
66794c01-ac67-44df-b178-f0b4f038ab2e,347,SS_133,Cachar Substation 133,FD_UNKNOWN,Unknown Feeder,25.0,10,True,63.9822116579432,33.1810080641415,68,0.3153,healthy,92.6890964,24.8802459,33,BHEL,ONAF,2016-04-27,False,False,"Ward No. 2, Substation 133, Unknown",Unknown,IN_SERVICE
66f48d07-ad23-4198-9499-e681336ec0dc,100180,SS_103,Kamrup Metro Substation 103,FD_UNKNOWN,Unknown Feeder,250.0,13,False,68.1347999300163,33.0855074404804,72,0.2719,healthy,91.7618154,26.1713757,54,BHEL,ONAN,2013-03-02,False,False,"Ward No. 6, Substation 103, Kamrup Metro",Kamrup Metro,IN_SERVICE
67894037-0716-44eb-86a8-0e8166a643e1,101012,SS_191,Goalpara Substation 191,FD_UNKNOWN,Unknown Feeder,100.0,12,False,65.5252436396548,32.9296788382035,75,0.2489,healthy,90.764245,26.374117,88,ABB,ONAN,2014-03-22,True,False,"Ward No. 14, Substation 191, Goalpara",Goalpara,IN_SERVICE
67e913b0-7968-436f-b863-b5cf9d70e9a2,101158,SS_203,Golaghat Substation 203,FD_UNKNOWN,Unknown Feeder,500.0,17,False,65.728661585227,33.488190445471,69,0.3001,healthy,93.5755911,26.6410913,116,BHEL,ONAF,2009-09-14,False,False,"Ward No. 7, Substation 203, Golaghat",Golaghat,IN_SERVICE
6835f929-40fd-420d-b55e-d91f5e7548ba,646,SS_133,Cachar Substation 133,FD_UNKNOWN,Unknown Feeder,100.0,12,True,67.7025963836475,33.2161433004594,74,0.2542,healthy,92.5033848,24.88314,65,Siemens,ONAF,2014-06-11,False,False,"Ward No. 5, Substation 133, Unknown",Unknown,IN_SERVICE
2204d317-2172-4177-916b-2192b01922f4,2092,SS_133,Cachar Substation 133,FD_UNKNOWN,Unknown Feeder,16.0,21,False,118.11145859682,91.4441709965225,22,0.7734,warning,92.4854721,24.9554018,75,BHEL,ONAF,2005-11-21,False,False,"Ward No. 13, Substation 133, Unknown",Unknown,IN_SERVICE
221d0426-3d35-45bd-81a9-d91b60e922f1,100992,SS_183,Biswanath Substation 183,FD_UNKNOWN,Unknown Feeder,200.0,21,True,121.706215139182,91.9145816339932,26,0.7312,warning,92.991403,26.734572,24,Siemens,ONAF,2005-03-18,False,False,"Ward No. 6, Substation 183, Biswanath",Biswanath,IN_SERVICE
2658a74e-1b63-41e4-a37b-7ff48618d519,100909,SS_172,Dhemaji Substation 172,FD_UNKNOWN,Unknown Feeder,250.0,8,False,66.9377147845045,33.4017007997779,73,0.2689,healthy,94.9235326,27.4896615,119,ABB,ONAF,2018-10-11,False,False,"Ward No. 11, Substation 172, Dhemaji",Dhemaji,IN_SERVICE
522740ab-62bd-47ea-b942-1ef7fd73d67c,100222,SS_104,Kamrup Metro Substation 104,FD_UNKNOWN,Unknown Feeder,63.0,10,False,66.9983187486241,32.9426383442917,70,0.2944,healthy,91.7618154,26.1713757,127,Crompton,ONAF,2016-01-08,False,False,"Ward No. 12, Substation 104, Kamrup Metro",Kamrup Metro,IN_SERVICE
53e98354-be99-47a2-a256-33d97e2de6bb,619,SS_133,Cachar Substation 133,FD_UNKNOWN,Unknown Feeder,16.0,14,True,66.6832649866738,33.670710999702,68,0.3181,healthy,92.5776933,24.90034,84,Siemens,ONAN,2012-10-18,True,False,"Ward No. 4, Substation 133, Unknown",Unknown,IN_SERVICE
53fb1aa8-a364-4e14-aaa6-90d60857bbe2,100082,SS_102,Kamrup Metro Substation 102,FD_UNKNOWN,Unknown Feeder,200.0,18,True,69.4820945040568,33.4193499903124,71,0.2895,healthy,91.6817067,26.1581231,36,Voltamp,ONAN,2008-01-12,False,False,"Ward No. 2, Substation 102, Kamrup Metro",Kamrup Metro,IN_SERVICE
575ef2e3-1167-4c12-a0a6-66e6757c7afb,101200,SS_212,Morigaon Substation 212,FD_UNKNOWN,Unknown Feeder,25.0,9,True,123.010010103412,93.4190873342198,22,0.7769,warning,92.3746357,26.2164285,113,ABB,ONAN,2017-05-20,False,False,"Ward No. 8, Substation 212, Morigaon",Morigaon,IN_SERVICE
582efbf2-2647-47b1-8214-42452c9002fa,2218,SS_133,Cachar Substation 133,FD_UNKNOWN,Unknown Feeder,25.0,6,True,69.5725746804286,34.5294909320968,67,0.3214,healthy,92.7104117,24.909175,101,Voltamp,ONAN,2020-02-25,False,False,"Ward No. 2, Substation 133, Unknown",Unknown,IN_SERVICE
5a41df91-22dd-444d-be13-ee3f3fa4df92,100527,SS_133,Cachar Substation 133,FD_UNKNOWN,Unknown Feeder,200.0,12,True,65.3840667867218,33.6611586828393,73,0.2678,healthy,92.481215,24.8542028,69,ABB,ONAN,2014-09-17,False,False,"Ward No. 2, Substation 133, Cachar",Cachar,IN_SERVICE
5f82cd12-1f6c-4045-ab33-3faf79bfd3bf,100405,SS_121,Nagaon Substation 121,FD_UNKNOWN,Unknown Feeder,315.0,11,True,64.8700467470259,33.9723027014438,75,0.2469,healthy,92.7965838,26.6277119,50,Voltamp,ONAN,2015-06-12,False,False,"Ward No. 5, Substation 121, Nagaon",Nagaon,IN_SERVICE
69a56637-c8b1-40a8-b75c-b955542e7a9b,101152,SS_202,Golaghat Substation 202,FD_UNKNOWN,Unknown Feeder,315.0,21,False,69.4292785675778,34.2327658679734,74,0.2546,healthy,94.1409029,26.7274553,118,Siemens,ONAN,2005-09-23,False,False,"Ward No. 7, Substation 202, Golaghat",Golaghat,IN_SERVICE
