transformer_id,transformer_code,timestamp,load_percentage,voltage_lv,current_a,temperature_c
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-04T17:00:07.939149+00:00,56.61,405.4,202.0,43.2
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-04T18:00:07.939149+00:00,50.06,409.1,175.9,42.5
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-04T19:00:07.939149+00:00,53.07,407.6,189.4,43.1
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-04T20:00:07.939149+00:00,72.17,404.3,255.8,48.8
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-04T21:00:07.939149+00:00,74.79,404.7,266.8,51.2
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-04T22:00:07.939149+00:00,71.07,406.2,250.5,50.9
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-04T23:00:07.939149+00:00,47.54,409.3,169.3,45.0
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T00:00:07.939149+00:00,39.43,409.4,137.8,41.6
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T01:00:07.939149+00:00,49.74,405.6,176.9,44.6
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T02:00:07.939149+00:00,42.76,407.9,151.9,41.7
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T03:00:07.939149+00:00,42.67,408.7,152.5,41.6
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T04:00:07.939149+00:00,41.59,407.4,146.2,42.7
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T05:00:07.939149+00:00,35.88,411.5,124.4,39.3
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T06:00:07.939149+00:00,48.42,406.8,172.8,42.9
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T07:00:07.939149+00:00,40.93,407.8,144.4,42.9
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T08:00:07.939149+00:00,50.54,408.7,178.9,41.7
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T09:00:07.939149+00:00,30.17,409.0,106.6,38.9
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T10:00:07.939149+00:00,42.63,407.1,150.2,43.3
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T11:00:07.939149+00:00,41.29,406.9,146.2,48.7
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T12:00:07.939149+00:00,50.07,407.5,176.0,48.8
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T13:00:07.939149+00:00,47.87,409.3,169.2,51.9
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T14:00:07.939149+00:00,41.0,410.7,145.7,51.9
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T15:00:07.939149+00:00,51.32,405.9,183.9,54.0
0157b60c-d630-40b5-b45b-668666f76c5a,100847,2026-08-05T16:00:07.939149+00:00,29.35,409.4,104.7,49.2
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-04T17:00:07.939149+00:00,84.45,387.8,78.6,75.9
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-04T18:00:07.939149+00:00,93.61,383.8,90.3,82.4
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-04T19:00:07.939149+00:00,97.64,378.0,93.1,86.1
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-04T20:00:07.939149+00:00,91.14,385.8,84.1,81.7
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-04T21:00:07.939149+00:00,81.59,384.6,78.6,75.0
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-04T22:00:07.939149+00:00,83.69,388.5,80.0,76.3
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-04T23:00:07.939149+00:00,83.3,383.5,81.0,75.9
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T00:00:07.939149+00:00,86.98,386.3,83.1,78.7
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T01:00:07.939149+00:00,96.91,380.2,90.9,84.9
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T02:00:07.939149+00:00,91.37,385.9,85.7,82.0
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T03:00:07.939149+00:00,80.96,385.2,74.5,74.2
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T04:00:07.939149+00:00,81.84,387.3,75.7,74.4
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T05:00:07.939149+00:00,83.89,387.9,79.9,76.7
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T06:00:07.939149+00:00,96.8,384.1,92.8,85.2
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T07:00:07.939149+00:00,94.59,383.7,89.3,82.2
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T08:00:07.939149+00:00,86.3,387.7,81.1,79.4
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T09:00:07.939149+00:00,95.13,378.9,90.4,85.3
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T10:00:07.939149+00:00,81.62,388.6,74.9,73.3
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T11:00:07.939149+00:00,86.61,383.0,82.6,78.2
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T12:00:07.939149+00:00,82.09,385.6,75.5,77.2
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T13:00:07.939149+00:00,103.51,378.9,99.1,89.4
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T14:00:07.939149+00:00,91.48,381.8,85.4,79.1
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T15:00:07.939149+00:00,81.35,389.1,77.6,74.6
01a00cd8-69b9-4996-ae0f-041ff2478d9b,100784,2026-08-05T16:00:07.939149+00:00,97.19,379.6,93.1,85.8
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-04T17:00:07.939149+00:00,81.5,385.3,246.0,65.1
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-04T18:00:07.939149+00:00,87.93,383.6,265.4,69.7
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-04T19:00:07.939149+00:00,85.3,386.0,255.4,68.0
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-04T20:00:07.939149+00:00,82.39,386.7,247.4,62.8
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-04T21:00:07.939149+00:00,81.41,388.9,243.5,62.4
03829337-06dc-4339-88be-70c9e7cba626,100634,2026-08-04T22:00:07.939149+00:00,84.93,387.1,251.9,64.3
