osm_id,feature_type,latitude,longitude,name,voltage,capacity_kva,operator,ref,Sub Div Code,district,Feeder No
100597,transformer,24.8801349,92.9562708,Sonai Feeder 6 T13,11000,100 kVA,APDCL,135-0013,135,Cachar,9
100002,transformer,26.1680185,91.7059545,Guwahati North DTR-003,11000,100 kVA,APDCL,101-0003,101,Kamrup Metro,9
100259,transformer,26.1480389,91.6846526,Guwahati West DTR-045,11000,100 kVA,APDCL,104-0045,104,Kamrup Metro,12
101284,transformer,26.7035227,91.2805212,Mushalpur DTR-003,11000,25 kVA,APDCL,242-0003,242,Baksa,6
100997,transformer,26.6736136,93.1155943,Biswanath Chariali Feeder 6 T13,11000,200 kVA,APDCL,183-0013,183,Biswanath,9
100320,transformer,26.1825408,91.636999,Jalukbari Feeder 1 T16,11000,500 kVA,APDCL,106-0016,106,Kamrup Metro,4
100110,transformer,26.1339628,91.7742486,Guwahati South Feeder 8 T31,11000,200 kVA,APDCL,102-0031,102,Kamrup Metro,11
100601,transformer,24.8600268,92.9296811,DTR 0017 Sonai,11000,250 kVA,APDCL,135-0017,135,Cachar,12
100511,transformer,24.8512174,92.8300146,Silchar Town Feeder 7 T22,11000,315 kVA,APDCL,133-0022,133,Cachar,7
101278,transformer,26.4507949,91.4926064,Nalbari Town Feeder 7 T22,11000,200 kVA,APDCL,241-0022,241,Nalbari,1
100313,transformer,26.2188126,91.7079616,Jalukbari DTR-009,11000,63 kVA,APDCL,106-0009,106,Kamrup Metro,2
100770,transformer,27.489901,94.910103,DTR 0026 Dibrug,11000,63 kVA,APDCL,161-0026,161,Dibrugarh,1
100238,transformer,26.1710628,91.667553,Guwahati West DTR-024,11000,250 kVA,APDCL,104-0024,104,Kamrup Metro,2
100477,transformer,26.1253717,92.6007878,Doboka DTR-003,11000,200 kVA,APDCL,124-0003,124,Nagaon,9
100149,transformer,26.1759744,91.7865483,Guwahati South Feeder 7 T70,11000,25 kVA,APDCL,102-0070,102,Kamrup Metro,1
100566,transformer,24.827275,92.6170124,Silchar West Feeder 7 T22,11000,25 kVA,APDCL,134-0022,134,Cachar,11
100443,transformer,26.0272763,92.9117911,Hojai Feeder 4 T19,11000,315 kVA,APDCL,122-0019,122,Hojai,5
101168,transformer,26.6035838,93.6304732,DTR 0014 Bokakh,11000,100 kVA,APDCL,203-0014,203,Golaghat,8
101322,transformer,26.5399449,90.9900491,DTR 0008 Barpet,11000,25 kVA,APDCL,244-0008,244,Barpeta,9
101071,transformer,26.3896216,90.2678027,DTR 0017 Kokraj,11000,63 kVA,APDCL,193-0017,193,Kokrajhar,4
100248,transformer,26.1618592,91.6732062,Guwahati West Feeder 3 T34,11000,200 kVA,APDCL,104-0034,104,Kamrup Metro,1
100586,transformer,24.8563709,92.9611452,DTR 0002 Sonai,11000,63 kVA,APDCL,135-0002,135,Cachar,4
100158,transformer,26.0892506,91.7610124,Guwahati East DTR-009,11000,25 kVA,APDCL,103-0009,103,Kamrup Metro,6
100101,transformer,26.1667109,91.7439647,Guwahati South Feeder 7 T22,11000,100 kVA,APDCL,102-0022,102,Kamrup Metro,3
100993,transformer,26.7125723,93.1253302,Biswanath Chariali DTR-009,11000,100 kVA,APDCL,183-0009,183,Biswanath,8
100636,transformer,24.6814688,92.5595224,Hailakandi Feeder 8 T07,11000,63 kVA,APDCL,141-0007,141,Hailakandi,2
101199,transformer,26.2178079,92.3682317,DTR 0005 Moriga,11000,63 kVA,APDCL,212-0005,212,Morigaon,2
101049,transformer,26.4521241,90.4648785,Bongaigaon Feeder 2 T25,11000,200 kVA,APDCL,192-0025,192,Bongaigaon,10
101131,transformer,26.538538,93.9860026,DTR 0002 Golagh,11000,250 kVA,APDCL,202-0002,202,Golaghat,8
101179,transformer,26.3972886,92.0043477,Mangaldoi Feeder 3 T10,11000,315 kVA,APDCL,211-0010,211,Darrang,1
100998,transformer,26.7245893,93.139209,DTR 0014 Biswan,11000,100 kVA,APDCL,183-0014,183,Biswanath,8
101198,transformer,26.240174,92.3434824,Morigaon Feeder 5 T04,11000,100 kVA,APDCL,212-0004,212,Morigaon,10
101183,transformer,26.4696754,92.0159706,DTR 0014 Mangal,11000,500 kVA,APDCL,211-0014,211,Darrang,1
101138,transformer,26.5292259,94.0133066,Golaghat DTR-009,11000,250 kVA,APDCL,202-0009,202,Golaghat,3
